,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
NUP210L,0,2.209911958,0.65,0.166,0,0,NUP210L
ARR3,0,0.780863496,0.923,0.485,0,0,ARR3
LINC00474,,0.844925009,0.88,0.595,0,0,LINC00474
VWC2L,0,0.56639204,0.784,0.516,0,0,VWC2L
UCMA,0,2.534628837,0.374,0.133,0,0,UCMA
GSTM2,0,1.120824092,0.475,0.251,0,0,GSTM2
CA11,0,2.746254178,0.275,0.078,0,0,CA11
NSUN5,0,2.623492499,0.257,0.077,0,0,NSUN5
TKT,0,2.906712812,0.151,0.038,0,0,TKT
TMEM138,5.08E-276,0.624464842,0.799,0.65,1.07E-271,0,TMEM138
SNX24,2.20E-220,0.578266242,0.482,0.287,4.61E-216,0,SNX24
ZNF501,7.99E-219,0.582448116,0.707,0.547,1.68E-214,0,ZNF501
DSC1,2.81E-200,1.070904317,0.478,0.327,5.89E-196,0,DSC1
TMEM214,2.39E-166,1.721695165,0.324,0.205,5.01E-162,0,TMEM214
LGALS3,2.27E-146,0.154977239,0.646,0.447,4.75E-142,0,LGALS3
UNC119B,6.10E-137,0.101745034,0.648,0.503,1.28E-132,0,UNC119B
DPYSL4,4.25E-127,1.132760996,0.193,0.098,8.92E-123,0,DPYSL4
FAM186A,7.23E-126,3.762221869,0.05,0.01,1.52E-121,0,FAM186A
RARA,1.02E-97,1.991973934,0.123,0.058,2.13E-93,0,RARA
ATP5MJ,8.32E-85,0.373592949,0.69,0.623,1.74E-80,0,ATP5MJ
PRKCD,1.11E-60,2.628948716,0.058,0.023,2.32E-56,0,PRKCD
RAB13,1.64E-56,1.648010243,0.059,0.024,3.45E-52,0,RAB13
NCEH1,3.27E-40,1.18495814,0.173,0.125,6.86E-36,0,NCEH1
LPIN2,1.87E-37,0.849267148,0.244,0.193,3.93E-33,0,LPIN2
ZNHIT1,2.05E-34,1.110248702,0.195,0.153,4.30E-30,0,ZNHIT1
CHST8,1.29E-33,0.116523528,0.055,0.027,2.71E-29,0,CHST8
FOXJ2,6.34E-27,0.159679955,0.073,0.122,1.33E-22,0,FOXJ2
LRRC36,1.38E-25,0.274793956,0.096,0.152,2.89E-21,0,LRRC36
ATP6AP1-DT,9.12E-23,2.174016952,0.039,0.021,1.91E-18,0,ATP6AP1-DT
POSTN,4.12E-22,1.495260803,0.058,0.035,8.63E-18,0,POSTN
ARHGAP32,2.87E-19,0.184488262,0.09,0.135,6.03E-15,0,ARHGAP32
INTS6,2.74E-17,0.170656133,0.168,0.228,5.74E-13,0,INTS6
LINC02413,3.48E-17,0.308921724,0.068,0.103,7.31E-13,0,LINC02413
ANKRD26,3.87E-14,0.430791878,0.399,0.382,8.11E-10,0,ANKRD26
GPATCH2,5.58E-12,0.377207816,0.082,0.115,1.17E-07,0,GPATCH2
